"","Country","Population","Deaths","Rates","Region"
"104","Panama",4314768,5934,1375.27672403244,"Latin America/Caribbean"
"105","Papua New Guinea",8947027,16,1.78830353367661,"Asia & Pacific"
"106","Paraguay",7132530,3343,468.697643052325,"Latin America/Caribbean"
"107","Peru",32971846,47854,1451.35944162787,"Latin America/Caribbean"
"108","Philippines",109581085,12521,114.262420380306,"Asia & Pacific"
"109","Poland",37846605,45317,1197.38613278523,"Europe"
"110","Portugal",10196707,16565,1624.54408075078,"Europe"
"111","Qatar",2881060,263,91.2858461816137,"Middle east"
"112","Romania",19237682,20963,1089.6842977236,"Europe"
"113","Russia",145934460,87985,602.907634015982,"Eastern Europe/Northern Asia"
"114","Rwanda",12952209,268,20.6914511648168,"Africa"
"115","Saudi Arabia",34813867,6534,187.683832996777,"Middle east"
"116","Senegal",16743930,925,55.2439003268647,"Africa"
"117","Serbia",8737370,4579,524.070744400203,"Europe"
"118","Sierra Leone",7976985,79,9.9034911059755,"Africa"
"119","Singapore",5850343,29,4.9569743175742,"Asia & Pacific"
"120","Slovakia",5459643,7921,1450.82746252823,"Europe"
"121","Slovenia",2078932,3897,1874.52018632644,"Europe"
"122","Somalia",15893219,307,19.3164141260496,"Africa"
"123","South Africa",59308690,50803,856.586109050798,"Africa"
"124","South Sudan",11193729,102,9.11224490069395,"Africa"
"125","Spain",46754783,71436,1527.88646243958,"Europe"
"126","Sri Lanka",21413250,507,23.676929004238,"Asia & Pacific"
"127","Sudan",43849269,1915,43.6723357919604,"Africa"
"128","Sweden",10099270,13003,1287.51880086382,"Europe"
"129","Switzerland",8654618,10056,1161.92303346029,"Europe"
"130","Syria",17500657,1068,61.0262803276471,"Middle east"
"131","Taiwan*",23816775,10,0.419872127943435,"Asia & Pacific"
"132","Tanzania",59734213,21,0.351557322769114,"Africa"
"133","Thailand",69799978,85,1.21776542680286,"Asia & Pacific"
"134","Timor-Leste",1318442,0,0,"Asia & Pacific"
"135","Togo",8278737,92,11.1128062166971,"Africa"
"136","Trinidad and Tobago",1399491,140,100.036370366083,"Latin America/Caribbean"
"137","Tunisia",11818618,8225,695.935853075207,"Africa"
"138","Turkey",84339067,29094,344.964688784143,"Europe"
"139","Uganda",45741000,334,7.30198290374063,"Africa"
"140","Ukraine",43733759,28616,654.32289961629,"Europe"
"141","United Arab Emirates",9890400,1335,134.979373938364,"Middle east"
"142","United Kingdom",67886004,124801,1838.39072336619,"Europe"
"143","Uruguay",3473727,658,189.421909090726,"Latin America/Caribbean"
"144","Uzbekistan",33469199,622,18.5842511498408,"Asia & Pacific"
"145","Venezuela",28435943,1391,48.916963998697,"Latin America/Caribbean"
"146","Vietnam",97338583,35,0.359569647731568,"Asia & Pacific"
"147","West Bank and Gaza",5101416,2157,422.823780691479,"Middle east"
"148","Yemen",29825968,653,21.8936733252044,"Middle east"
"149","Zambia",18383956,1132,61.5754302284013,"Africa"
"150","Zimbabwe",14862927,1487,100.047588203858,"Africa"
"151","Australia",25459700,909,35.7034843301374,"Asia & Pacific"
"152","Canada",37855702,22271,588.312957450901,"North America"
"153","China",1404676330,4838,3.44420981308911,"Asia & Pacific"
"154","US",329466283,525752,1595.76875427948,"North America"
"155","Tajikistan",9537642,90,9.43629463131453,"Asia & Pacific"
