"","X1","Country","Population","Deaths","Rates","Region"
"95",95,"Liberia",5057677,82,16.2129768271086,"Africa"
"96",96,"Libya",6871287,871,126.759368368691,"Middle east"
"97",97,"Liechtenstein",38137,3,78.6637648477856,"Europe"
"98",98,"Lithuania",2722291,166,60.9780512076042,"Europe"
"99",99,"Luxembourg",625976,152,242.820811021509,"Europe"
"100",100,"Madagascar",27691019,244,8.8115211650391,"Africa"
"101",101,"Malawi",19129955,184,9.61842304385975,"Africa"
"102",102,"Malaysia",32365998,249,7.69325883292707,"Asia & Pacific"
"103",103,"Maldives",540542,38,70.2998101905125,"Asia & Pacific"
"104",104,"Mali",20250834,136,6.71577279236993,"Africa"
"105",105,"Malta",441539,64,144.947558426322,"Europe"
"106",106,"Mauritania",4649660,163,35.0563266991565,"Africa"
"107",107,"Mauritius",1271767,10,7.86307554764355,"Africa"
"108",108,"Mexico",128932753,91895,712.735886435311,"Latin America/Caribbean"
"109",109,"Moldova",4033963,1800,446.211331140122,"Europe"
"110",110,"Monaco",39244,2,50.9632045663031,"Europe"
"111",111,"Mongolia",3278292,0,0,"Asia & Pacific"
"112",112,"Montenegro",628062,313,498.358442319389,"Europe"
"113",113,"Morocco",36910558,3762,101.922057098134,"Africa"
"114",114,"Mozambique",31255435,93,2.97548250408289,"Africa"
"115",115,"MS Zaandam",NA,2,NA,"Cruise ship"
"116",116,"Namibia",2540916,133,52.3433281540988,"Africa"
"117",117,"Nepal",29136808,960,32.9480154449314,"Asia & Pacific"
"118",118,"Netherlands",17134873,7498,437.587135895317,"Europe"
"119",119,"New Zealand",4822233,25,5.1843202101599,"Asia & Pacific"
"120",120,"Nicaragua",6624554,156,23.5487551312888,"Latin America/Caribbean"
"121",121,"Niger",24206636,69,2.85045803142576,"Africa"
"122",122,"Nigeria",206139587,1146,5.55933974972017,"Africa"
"123",123,"North Macedonia",2083380,1004,481.909205233803,"Europe"
"124",124,"Norway",5421242,282,52.0176003948911,"Europe"
"125",125,"Oman",5106622,1246,243.996912244533,"Middle east"
"126",126,"Pakistan",220892331,6835,30.9426767740524,"Asia & Pacific"
"127",127,"Panama",4314768,2706,627.14843532723,"Latin America/Caribbean"
"128",128,"Papua New Guinea",8947027,7,0.782382795983515,"Asia & Pacific"
"129",129,"Paraguay",7132530,1418,198.807435790666,"Latin America/Caribbean"
"130",130,"Peru",32971846,34476,1045.61934445527,"Latin America/Caribbean"
"131",131,"Philippines",109581085,7238,66.0515453009066,"Asia & Pacific"
"132",132,"Poland",37846605,5783,152.801024028443,"Europe"
"133",133,"Portugal",10196707,2544,249.492311586476,"Europe"
"134",134,"Qatar",2881060,232,80.5259175442372,"Middle east"
"135",135,"Romania",19237682,7067,367.351950198574,"Europe"
"136",136,"Russia",145934460,28026,192.045113950468,"Eastern Europe/Northern Asia"
"137",137,"Rwanda",12952209,35,2.7022417565992,"Africa"
"138",138,"Saint Kitts and Nevis",53192,0,0,"Latin America/Caribbean"
"139",139,"Saint Lucia",183629,0,0,"Latin America/Caribbean"
"140",140,"Saint Vincent and the Grenadines",110947,0,0,"Latin America/Caribbean"
"141",141,"San Marino",33938,42,1237.55082798043,"Europe"
"142",142,"Sao Tome and Principe",219161,16,73.0056898809551,"Africa"
"143",143,"Saudi Arabia",34813867,5420,155.68508950758,"Middle east"
"144",144,"Senegal",16743930,325,19.4100190337633,"Africa"
"145",145,"Serbia",8737370,826,94.5364566225306,"Europe"
"146",146,"Seychelles",98340,0,0,"Africa"
"147",147,"Sierra Leone",7976985,74,9.27668787142009,"Africa"
"148",148,"Singapore",5850343,28,4.78604416869233,"Asia & Pacific"
"149",149,"Slovakia",5459643,219,40.112512851115,"Europe"
"150",150,"Slovenia",2078932,363,174.60888571632,"Europe"
"151",151,"Somalia",15893219,104,6.54367123488325,"Africa"
"152",152,"South Africa",59308690,19411,327.28762007726,"Africa"
"153",153,"South Sudan",11193729,59,5.27080832491121,"Africa"
"154",154,"Spain",46754783,35878,767.365340996236,"Europe"
