"","X1","Country","Population","Cases","Rate","Region"
"92",92,"Laos",7275556,24,3.29871696403684,"Asia & Pacific"
"93",93,"Latvia",1886202,4893,2594.10179821673,"Europe"
"94",94,"Lebanon",6825442,73995,10841.0561543121,"Middle east"
"95",95,"Liberia",5057677,1419,280.563586800818,"Africa"
"96",96,"Libya",6871287,57975,8437.28401971858,"Middle east"
"97",97,"Liechtenstein",38137,428,11222.6971182841,"Europe"
"98",98,"Lithuania",2722291,11362,4173.69046879999,"Europe"
"99",99,"Luxembourg",625976,14884,23777.2694160799,"Europe"
"100",100,"Madagascar",27691019,16968,612.761848886818,"Africa"
"101",101,"Malawi",19129955,5897,308.260003748049,"Africa"
"102",102,"Malaysia",32365998,28640,884.879248895708,"Asia & Pacific"
"103",103,"Maldives",540542,11567,21398.892222991,"Asia & Pacific"
"104",104,"Mali",20250834,3515,173.573098273385,"Africa"
"105",105,"Malta",441539,5685,12875.4198383382,"Europe"
"106",106,"Mauritania",4649660,7680,1651.73367515044,"Africa"
"107",107,"Mauritius",1271767,439,345.189016541552,"Africa"
"108",108,"Mexico",128932753,901268,6990.2176059174,"Latin America/Caribbean"
"109",109,"Moldova",4033963,72460,17962.4850302296,"Europe"
"110",110,"Monaco",39244,320,8154.1127306085,"Europe"
"111",111,"Mongolia",3278292,340,103.71254299495,"Asia & Pacific"
"112",112,"Montenegro",628062,17091,27212.2815900341,"Europe"
"113",113,"Morocco",36910558,203733,5519.64020701069,"Africa"
"114",114,"Mozambique",31255435,12273,392.667707232358,"Africa"
"115",115,"MS Zaandam",NA,9,NA,"Cruise ship"
"116",116,"Namibia",2540916,12729,5009.61070731972,"Africa"
"117",117,"Nepal",29136808,160400,5505.06424725728,"Asia & Pacific"
"118",118,"Netherlands",17134873,318152,18567.5143317374,"Europe"
"119",119,"New Zealand",4822233,1943,402.925366733627,"Asia & Pacific"
"120",120,"Nicaragua",6624554,5514,832.35792175594,"Latin America/Caribbean"
"121",121,"Niger",24206636,1218,50.3167809025591,"Africa"
"122",122,"Nigeria",206139587,62224,301.853714298943,"Africa"
"123",123,"North Macedonia",2083380,27827,13356.6608107978,"Europe"
"124",124,"Norway",5421242,18666,3443.1224431597,"Europe"
"125",125,"Oman",5106622,113820,22288.7067027871,"Middle east"
"126",126,"Pakistan",220892331,330200,1494.84592111077,"Asia & Pacific"
"127",127,"Panama",4314768,130422,30226.8858951397,"Latin America/Caribbean"
"128",128,"Papua New Guinea",8947027,588,65.7201548626153,"Asia & Pacific"
"129",129,"Paraguay",7132530,60557,8490.25521098404,"Latin America/Caribbean"
"130",130,"Peru",32971846,890574,27010.1346463889,"Latin America/Caribbean"
"131",131,"Philippines",109581085,373144,3405.18621439092,"Asia & Pacific"
"132",132,"Poland",37846605,280229,7404.3365316387,"Europe"
"133",133,"Portugal",10196707,124432,12203.1553912454,"Europe"
"134",134,"Qatar",2881060,131689,45708.5239460476,"Middle east"
"135",135,"Romania",19237682,217216,11291.1732297062,"Europe"
"136",136,"Russia",145934460,1537142,10533.0982140887,"Eastern Europe/Northern Asia"
"137",137,"Rwanda",12952209,5084,392.519916872867,"Africa"
"138",138,"Saint Kitts and Nevis",53192,19,357.196570912919,"Latin America/Caribbean"
"139",139,"Saint Lucia",183629,65,353.974590070196,"Latin America/Caribbean"
"140",140,"Saint Vincent and the Grenadines",110947,74,666.985137047419,"Latin America/Caribbean"
"141",141,"San Marino",33938,852,25104.6025104603,"Europe"
"142",142,"Sao Tome and Principe",219161,941,4293.64713612367,"Africa"
"143",143,"Saudi Arabia",34813867,345631,9927.96921985139,"Middle east"
"144",144,"Senegal",16743930,15571,929.948942691471,"Africa"
"145",145,"Serbia",8737370,40880,4678.75344640321,"Europe"
"146",146,"Seychelles",98340,153,1555.82672361196,"Africa"
"147",147,"Sierra Leone",7976985,2350,294.597520241043,"Africa"
"148",148,"Singapore",5850343,57980,9910.53003217076,"Asia & Pacific"
"149",149,"Slovakia",5459643,46056,8435.71640123722,"Europe"
"150",150,"Slovenia",2078932,25603,12315.4581294626,"Europe"
"151",151,"Somalia",15893219,3941,247.967387852643,"Africa"
"152",152,"South Africa",59308690,717851,12103.6394498007,"Africa"
"153",153,"South Sudan",11193729,2890,258.180272186329,"Africa"
"154",154,"Spain",46754783,1116738,23885.000172068,"Europe"
"155",155,"Sri Lanka",21413250,8870,414.229507431147,"Asia & Pacific"
"156",156,"Sudan",43849269,13747,313.505796413619,"Africa"
"157",157,"Suriname",586634,5187,8841.96960967145,"Latin America/Caribbean"
"158",158,"Sweden",10099270,115785,11464.6900221501,"Europe"
"159",159,"Switzerland",8654618,127042,14679.0996436816,"Europe"
"160",160,"Syria",17500657,5528,315.873855478683,"Middle east"
"161",161,"Taiwan*",23816775,550,23.0929670368889,"Asia & Pacific"
"162",162,"Tanzania",59734213,509,8.52107987092757,"Africa"
"163",163,"Thailand",69799978,3759,53.8538851688463,"Asia & Pacific"
"164",164,"Timor-Leste",1318442,30,22.7541294952679,"Asia & Pacific"
"165",165,"Togo",8278737,2229,269.243968011063,"Africa"
"166",166,"Trinidad and Tobago",1399491,5568,3978.58935855965,"Latin America/Caribbean"
"167",167,"Tunisia",11818618,52399,4433.59790459426,"Africa"
"168",168,"Turkey",84339067,366208,4342.09214100033,"Europe"
"169",169,"Uganda",45741000,11621,254.060908156796,"Africa"
"170",170,"Ukraine",43733759,366233,8374.14867539742,"Europe"
"171",171,"United Arab Emirates",9890400,127624,12903.8259322171,"Middle east"
"172",172,"United Kingdom",67886004,920664,13561.9118191137,"Europe"
"173",173,"Uruguay",3473727,2916,839.444205028202,"Latin America/Caribbean"
"174",174,"Uzbekistan",33469199,65881,1968.40683280171,"Asia & Pacific"
"175",175,"Venezuela",28435943,90400,3179.07515850626,"Latin America/Caribbean"
"176",176,"Vietnam",97338583,1172,12.0404464897542,"Asia & Pacific"
"177",177,"West Bank and Gaza",5101416,51528,10100.7249751834,"Middle east"
"178",178,"Western Sahara",597330,10,16.7411648502503,"Africa"
"179",179,"Yemen",29825968,2060,69.0673308574595,"Middle east"
"180",180,"Zambia",18383956,16243,883.542149469896,"Africa"
"181",181,"Zimbabwe",14862927,8315,559.445659660442,"Africa"
"182",182,"Australia",25459700,27553,1082.22013613672,"Asia & Pacific"
"183",183,"Canada",37855702,225703,5962.19296104983,"North America"
"184",184,"China",1404676330,91222,64.9416510065347,"Asia & Pacific"
"185",185,"US",329466283,8777432,26641.3665157961,"North America"
"186",186,"Comoros",869595,517,594.52963735992,"Africa"
"187",187,"Tajikistan",9537642,10860,1138.64621884529,"Asia & Pacific"
