"","X.1","X","Country","Population","Cases","Rate","Region"
"87",107,107,"Mauritius",1271767,527,414.384081360815,"Africa"
"88",108,108,"Mexico",128932753,1389430,10776.3928689245,"Latin America/Caribbean"
"89",109,109,"Moldova",4033963,141924,35182.2760892948,"Europe"
"90",111,111,"Mongolia",3278292,1175,358.4183471149,"Asia & Pacific"
"91",113,113,"Morocco",36910558,433029,11731.8464814322,"Africa"
"92",114,114,"Mozambique",31255435,18310,585.818114513524,"Africa"
"93",116,116,"Namibia",2540916,22287,8771.24627496541,"Africa"
"94",117,117,"Nepal",29136808,258840,8883.60866433962,"Asia & Pacific"
"95",118,118,"Netherlands",17134873,781467,45606.8159944926,"Europe"
"96",119,119,"New Zealand",4822233,2151,446.058910882158,"Asia & Pacific"
"97",120,120,"Nicaragua",6624554,5991,904.362769176612,"Latin America/Caribbean"
"98",121,121,"Niger",24206636,3159,130.501404656145,"Africa"
"99",122,122,"Nigeria",206139587,84811,411.425099051935,"Africa"
"100",123,123,"North Macedonia",2083380,81804,39265.0404630936,"Europe"
"101",124,124,"Norway",5421242,47585,8777.50891769819,"Europe"
"102",125,125,"Oman",5106622,128563,25175.7423987912,"Middle east"
"103",126,126,"Pakistan",220892331,475085,2150.75370814933,"Asia & Pacific"
"104",127,127,"Panama",4314768,233705,54163.9782254805,"Latin America/Caribbean"
"105",128,128,"Papua New Guinea",8947027,780,87.1797972667345,"Asia & Pacific"
"106",129,129,"Paraguay",7132530,105374,14773.7198441507,"Latin America/Caribbean"
"107",130,130,"Peru",32971846,1007657,30561.1338837383,"Latin America/Caribbean"
"108",131,131,"Philippines",109581085,470650,4294.99306381206,"Asia & Pacific"
"109",132,132,"Poland",37846605,1261010,33318.9727321645,"Europe"
"110",133,133,"Portugal",10196707,396666,38901.3825738054,"Europe"
"111",134,134,"Qatar",2881060,143222,49711.5644936239,"Middle east"
"112",135,135,"Romania",19237682,618429,32146.7523997954,"Europe"
"113",136,136,"Russia",145934460,3047335,20881.5313394794,"Eastern Europe/Northern Asia"
"114",137,137,"Rwanda",12952209,8021,619.276603705206,"Africa"
"115",143,143,"Saudi Arabia",34813867,362339,10407.8929238168,"Middle east"
"116",144,144,"Senegal",16743930,18728,1118.49488142867,"Africa"
"117",145,145,"Serbia",8737370,328619,37610.7455676022,"Europe"
"118",147,147,"Sierra Leone",7976985,2560,320.923256092371,"Africa"
"119",148,148,"Singapore",5850343,58529,10004.3706839069,"Asia & Pacific"
"120",149,149,"Slovakia",5459643,168092,30788.0936537426,"Europe"
"121",150,150,"Slovenia",2078932,115327,55474.1569228816,"Europe"
"122",151,151,"Somalia",15893219,4690,295.094404726947,"Africa"
"123",152,152,"South Africa",59308690,1011871,17061.0917219719,"Africa"
"124",153,153,"South Sudan",11193729,3491,311.871048512967,"Africa"
"125",154,154,"Spain",46754783,1879413,40197.2350080205,"Europe"
"126",155,155,"Sri Lanka",21413250,41603,1942.86248000654,"Asia & Pacific"
"127",156,156,"Sudan",43849269,23316,531.730642989738,"Africa"
"128",158,158,"Sweden",10099270,396048,39215.5076555038,"Europe"
"129",159,159,"Switzerland",8654618,438284,50641.634327477,"Europe"
"130",160,160,"Syria",17500657,11138,636.433249334582,"Middle east"
"131",161,161,"Taiwan*",23816775,793,33.2958597459144,"Asia & Pacific"
"132",162,162,"Tanzania",59734213,509,8.52107987092757,"Africa"
"133",163,163,"Thailand",69799978,6440,92.2636393954164,"Asia & Pacific"
"134",164,164,"Timor-Leste",1318442,44,33.3727232597262,"Asia & Pacific"
"135",165,165,"Togo",8278737,3576,431.949945988138,"Africa"
"136",166,166,"Trinidad and Tobago",1399491,7115,5083.99125110487,"Latin America/Caribbean"
"137",167,167,"Tunisia",11818618,133204,11270.6917170857,"Africa"
"138",168,168,"Turkey",84339067,2162775,25643.8098846884,"Europe"
"139",169,169,"Uganda",45741000,33973,742.725344876588,"Africa"
"140",170,170,"Ukraine",43733759,1061074,24262.1266559776,"Europe"
"141",171,171,"United Arab Emirates",9890400,202863,20511.1016743509,"Middle east"
"142",172,172,"United Kingdom",67886004,2336688,34420.7621942219,"Europe"
"143",173,173,"Uruguay",3473727,17306,4981.96893423116,"Latin America/Caribbean"
"144",174,174,"Uzbekistan",33469199,76832,2295.60319026458,"Asia & Pacific"
"145",175,175,"Venezuela",28435943,112636,3961.04324727335,"Latin America/Caribbean"
"146",176,176,"Vietnam",97338583,1451,14.9067302531002,"Asia & Pacific"
"147",177,177,"West Bank and Gaza",5101416,134310,26327.9842302608,"Middle east"
"148",179,179,"Yemen",29825968,2096,70.2743327559394,"Middle east"
"149",180,180,"Zambia",18383956,19943,1084.8045980963,"Africa"
"150",181,181,"Zimbabwe",14862927,13148,884.617141697594,"Africa"
"151",182,182,"Australia",25459700,28349,1113.48523352593,"Asia & Pacific"
"152",183,183,"Canada",37855702,560618,14809.3410075977,"North America"
"153",184,184,"China",1404676330,95720,68.1438121762898,"Asia & Pacific"
"154",185,185,"US",329466283,19301543,58584.2740090038,"North America"
"155",187,187,"Tajikistan",9537642,13237,1387.86924483012,"Asia & Pacific"
